super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count
1243,Mount St. Mary's College,Los Angeles,CA,48500,44900,.21239695,.004641016,.30078995,.0070868032,.063886866,.0015052154,-.075994849,-.11815791,222.3333333333333
1343,Woodbury University,Los Angeles,CA,61900,44300,.18690574,.02275495,.34051168,.000042108186,.06364359,7.8702615e-06,-.082350992,-.076496318,115.6666666666667
1153,"California State University, Northridge",Los Angeles,CA,61100,44100,.19794104,.006706683,.31953251,.0072009652,.063248597,.0014253665,-.060573932,-.04577383,2348.666666666667
2691,CUNY Borough Of Manhattan Community College,New York,NY,33500,31900,.35075352,.0010283593,.17514886,.0013941237,.061434079,.00048899377,-.021635275,-.040798977,2047.333333333333
9225,Texas State Technical College Harlingen,Brownsville,TX,29100,25400,.43211061,.0022869818,.14214651,.0045726299,.061423015,.0019758819,-.12196259,-.077596061,873.6666666666666
10051,CUNY Laguardia Community College,New York,NY,33800,31800,.36779636,.00033236787,.1646369,0,.06055285,0,-.092045508,-.084401712,1178
2597,Bloomfield College,Newark,NJ,40800,35600,.26851264,.00017513699,.22484525,.0054988819,.060373791,.0014765193,-.086646423,-.114214,227
1316,"University Of California, Riverside",Los Angeles,CA,75000,52800,.14668724,.0085811093,.41020814,.0067461054,.060172301,.0009895676,-.044312797,-.050271928,2364.333333333333
2692,CUNY Bronx Community College,New York,NY,29700,28700,.40972704,.00091748533,.14355651,.000054521115,.058818981,.000022338774,.016001225,-.012388018,778.6666666666666
212,College Of Mount Saint Vincent And Manhattan College,New York,NY,94800,67900,.092331685,.017379981,.6263895,.018693922,.057835598,.0017260413,-.012929488,-.013199376,831
7394,"Berkeley College of New York, NY",New York,NY,42500,36500,.27447081,.0053121299,.21035694,.000056456051,.057736836,.000015495538,.036672458,.074207872,372
9618,Tulsa Welding School,Tulsa,OK,43900,26100,.27616358,.00061896193,.20878515,0,.057658855,0,-.046119526,-.075679496,255
3614,Southwest Texas Junior College,Uvalde,TX,28100,28000,.42978165,.00087250728,.13336743,.0029788846,.057318874,.0012802699,-.13313918,-.047178064,773.6666666666666
1141,"California State University, Dominguez Hills",Los Angeles,CA,45600,40300,.2631824,.00073130883,.2128173,.0027680267,.056009766,.00072849588,-.079841658,-.045438979,451.3333333333333
1315,"University Of California, Los Angeles",Los Angeles,CA,105500,65800,.10242689,.036824387,.54636556,.044001542,.055962522,.004506941,-.016410502,-.037124485,4734
10509,Hallmark College Of Technology,San Antonio,TX,42400,33200,.31601173,.0022928566,.17677213,0,.055862065,0,-.058956709,-.092641711,108.5
2697,Queensborough Community College-CUNY,New York,NY,42200,32400,.27576023,.00063350826,.20115633,.004932058,.055470917,.0013600654,-.055555586,-.074269667,1494
122,Long Island University System,New York,NY,59000,39900,.18595895,.01504786,.29769799,.012805028,.055359606,.0023812095,-.056085918,-.10476321,1677
1374,Albertus Magnus College,Bridgeport,CT,68600,43400,.12973523,.0035828911,.42551869,.00029414467,.055204768,.000038160928,.0018003122,-.026047433,65.66666666666667
2638,Saint Peter's University,Newark,NJ,59700,45500,.20468722,.0037753019,.2685788,.0070686685,.054974649,.0014468661,-.08159899,-.087430432,447.6666666666667
1155,San Jose State University,San Jose,CA,91700,56500,.11658612,.0096155321,.46557117,.018367313,.054279134,.0021413737,-.041787971,-.070231482,2182.333333333333
2782,New York Institute Of Technology,New York,NY,78500,49900,.1460806,.015220797,.36985093,.00010352841,.054028045,.000015123493,-.060802586,-.074753739,637.3333333333334
2613,New Jersey City University,Newark,NJ,51600,41200,.20409746,.00094001798,.26058468,0,.053184673,0,.0095113041,.023650266,783.6666666666666
3639,Texas A&M University - Kingsville,Corpus Christi,TX,47700,39800,.25405338,.0029822474,.20836183,.0063951751,.05293503,.0016247159,-.075371593,-.07109987,823
2032,Xavier University Of Louisiana,New Orleans,LA,63100,48400,.16702759,.0039558755,.31462702,.021135638,.052551392,.0035302346,.022524055,.083640873,657.3333333333334
